OBJECTID,FULL_ZONING,NOTE,HTML,VIEWER_HTML,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPESTArea,SHAPESTLength
20111,RM5, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_12_rm5_zone_regulations.asp TARGET=new>RM5</A>,https://www.burlington.ca/en/zoning/part_2_12_rm5_zone_regulations.asp ,{5C4845E9-FFBE-4D6D-8CD7-440492AAED91},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,17113.8763200001,696.443478262554
20112,O1, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_4_o1_zone.asp TARGET=new>O1</A>,https://www.burlington.ca/en/zoning/part_10_4_o1_zone.asp ,{57447C4A-0E67-4ED4-96AC-F16F43761AFD},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,1719.70378000001,184.986289920206
20113,P, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_2_p_zone.asp TARGET=new>P</A>,https://www.burlington.ca/en/zoning/part_10_2_p_zone.asp ,{9105BCC6-DF03-4E1A-AB24-2A400584398C},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,25883.4699500002,1108.91904202056
20114,RAL3, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_24_ral3_zone_regulations.asp TARGET=new>RAL3</A>,https://www.burlington.ca/en/zoning/part_2_24_ral3_zone_regulations.asp ,{F3D033AF-A21F-4151-BE11-D0EFFAC96F99},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,29460.2403925626,1250.62424328188
20115,RM1, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_8_rm1_zone_regulations.asp TARGET=new>RM1</A>,https://www.burlington.ca/en/zoning/part_2_8_rm1_zone_regulations.asp ,{9D192281-E676-4E2C-8AE5-A7830FF78242},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,4914.49903000004,398.142616781599
20116,H-MXG-371, ,<A HREF=https://www.burlington.ca/en/zoning/exception_371.asp TARGET=new>MXG-371</A>,https://www.burlington.ca/en/zoning/exception_371.asp ,{01C8BAE4-0721-4B92-A20E-30A10C9D48AE},COB,2022/06/29 13:08:32+00,MAW,2024/09/11 18:21:41+00,9479.18182674767,389.774100755192
20117,MXG, ,<A HREF=https://www.burlington.ca/en/zoning/part_5_4_mxg_mxr_mxe_zone_regulations.asp TARGET=new>MXG</A>,https://www.burlington.ca/en/zoning/part_5_4_mxg_mxr_mxe_zone_regulations.asp ,{E96BB4A0-9838-4243-A93F-99ADC4AB387A},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,12332.1326238775,445.589591665584
20118,H-RM2, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp TARGET=new>H-RM2</A>,https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp ,{494F406B-37DA-4AC8-B85F-83E648711E53},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,1358.09337000001,148.146145776095
20119,CR-351, ,<A HREF=https://www.burlington.ca/en/zoning/exception_351.asp TARGET=new>CR-351</A>,https://www.burlington.ca/en/zoning/exception_351.asp ,{CD0D5D77-A085-4C62-9CE0-EF0E438F2C3E},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,6032.23575943475,327.389217810929
20120,CC1, ,<A HREF=https://www.burlington.ca/en/zoning/part_4_6_cc1_cc2_zone_regulations.asp TARGET=new>CC1</A>,https://www.burlington.ca/en/zoning/part_4_6_cc1_cc2_zone_regulations.asp ,{EAFC2542-2E4F-40CC-B442-241954102C87},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,42116.4568800003,1005.88274688795
